,Dia,Hora,MW:From-To,Mvar:From-To
EXP_NE,09,07-30,7833.5,-691.6
EXP_NE,09,08-00,8239.4,-611.4000000000001
EXP_NE,09,08-30,8358.2,-582.5
EXP_NE,09,09-00,8171.3,-600.8000000000001
EXP_NE,09,09-30,7947.4,-656.9
EXP_NE,09,10-00,7522.4,-733.4000000000001
EXP_NE,09,10-30,7092.5,-892.8
EXP_NE,09,11-00,6729.2,-848.6
EXP_NE,09,11-30,6468.9,-860.1999999999999
EXP_NE,09,12-00,6508.9,-768.4
EXP_NE,09,12-30,6486.7,-799.5999999999999
EXP_NE,09,13-00,6421.8,-878.3
EXP_NE,09,13-30,6396.4,-833.0999999999999
EXP_NE,09,14-00,6367.4,-864.8
EXP_NE,09,14-30,6438.400000000001,-913.2
EXP_NE,09,15-00,7368.8,-803.5
EXP_NE,09,15-30,7948.3,-755.5
EXP_NE,09,16-00,7435.599999999999,-816.0
EXP_NE,09,16-30,6912.7,-887.2
EXP_NE,09,17-00,6125.5,-913.8
EXP_NE,09,17-30,5018.8,-1121.9
EXP_NE,09,18-00,5971.2,-985.5999999999999
EXP_NE,09,18-30,7076.1,-1102.1
EXP_NE,09,19-00,6561.2,-1169.7
EXP_NE,09,19-30,6376.6,-1280.2
EXP_NE,09,20-00,6165.5,-1310.0
EXP_NE,09,20-30,6035.4,-1301.7
EXP_NE,09,21-00,7174.9,-1057.9
EXP_NE,09,21-30,5962.8,-1305.4
EXP_NE,09,22-00,5989.8,-1151.4
EXP_NE,09,22-30,5139.3,-1443.1
EXP_NE,09,23-00,4047.7,-1441.6999999999998
EXP_NE,09,23-30,3777.9,-1381.5
EXP_NE,10,00-00,6602.0,-1050.5
EXP_NE,10,00-30,7207.1,-943.8
EXP_NE,10,01-00,6804.5,-1015.0
EXP_NE,10,01-30,6258.3,-967.3
EXP_NE,10,02-00,5964.3,-966.9
EXP_NE,10,02-30,5333.7,-1105.8
EXP_NE,10,03-00,4941.3,-1196.7
EXP_NE,10,03-30,5149.7,-974.2
EXP_NE,10,04-00,5358.599999999999,-875.0999999999999
EXP_NE,10,04-30,5253.5,-1235.7
EXP_NE,10,05-00,5165.7,-1353.2
EXP_NE,10,05-30,5271.6,-1132.8
